location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"Brooklyn Park, MN 55445",Sr Data Scientist - Merchandise Scaling (applied ML),"95,000","1,71,000"," $1,33,000.00 ",United States of America,Data Scientist,Brooklyn Park,Available
"Fort Meade, MD 20755",Data Scientist Skill Level 2,"1,15,000","1,45,000"," $1,30,000.00 ",United States of America,Data Scientist,Fort Meade,Available
"Denver, CO 80203",Data Scientist,"73,500","1,13,900"," $93,700.00 ",United States of America,Data Scientist,Denver,Available
"Sunnyvale, CA 94085",Technical Lead- AI-based Autonomous Driving Systems,"2,40,000","3,00,000"," $2,70,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Aberdeen, MD 21001",AI/ML Engineer,"1,00,000","1,10,000"," $1,05,000.00 ",United States of America,Data Scientist,Aberdeen,Available
"Aberdeen, MD 21001",Gen AI Specialist,"85,000","1,25,000"," $1,05,000.00 ",United States of America,Data Scientist,Aberdeen,Available
"Plano, TX 75024","Principal Software Engineer - AWS, Java, AI",,,,United States of America,Data Scientist,Plano,Missing
Remote,ML Engineer,80,90," $1,76,800.00 ",United States of America,Data Scientist,Remote,Available
"Washington, DC","Director, Data Science tags.new",,,,United States of America,Data Scientist,Washington,Missing
"Seattle, WA","Principal Applied Scientist - Generative AI, Trust and Store Integrity Science","1,79,000","3,09,400"," $2,44,200.00 ",United States of America,Data Scientist,Seattle,Available
Remote,Data & AI Architect,"1,30,000","1,70,000"," $1,50,000.00 ",United States of America,Data Scientist,Remote,Available
"Annapolis Junction, MD",Artificial Intelligence/Machine Learning (AI/ML) Engineer,,,,United States of America,Data Scientist,Annapolis Junction,Missing
"Plano, TX 75024","Manager 3, Data Science",,,,United States of America,Data Scientist,Plano,Missing
"San Diego, CA 92121",Senior Machine Learning Operation Engineer,"1,79,500","1,89,000"," $1,84,250.00 ",United States of America,Data Scientist,San Diego,Available
"Charlotte, NC",Lead AI/ML Engineer-Python and RAG,,,,United States of America,Data Scientist,Charlotte,Missing
"Englewood, CO 80112",Data Scientist II,"1,15,254.80",," $1,15,255.00 ",United States of America,Data Scientist,Englewood,Available
Remote,Mathematical Statistician III,40.87,81.73," $1,26,880.00 ",United States of America,Data Scientist,Remote,Available
"Cambridge, MA","Sr. Manager, Statistical Methodology and Innovation",,,,United States of America,Data Scientist,Cambridge,Missing
"Annapolis Junction, MD",Senior Data Scientist,,,,United States of America,Data Scientist,Annapolis Junction,Missing
"Ashburn, VA 20147",Artificial Intelligence Operations Engineer,,,,United States of America,Data Scientist,Ashburn,Missing
"Reston, VA",Lead Generative AI Engineer,,,,United States of America,Data Scientist,Reston,Missing
"Dallas, TX",Principal Statistical Programmer,,,,United States of America,Data Scientist,Dallas,Missing
Remote,"Senior Manager, Machine Learning","2,00,000","2,25,000"," $2,12,500.00 ",United States of America,Data Scientist,Remote,Available
"Edison, NJ",Lead AI Full Stack ENgineer,,,,United States of America,Data Scientist,Edison,Missing
"Falls Church, VA 22042",Data Annotation Team Supervisor,"60,000","65,000"," $62,500.00 ",United States of America,Data Scientist,Falls Church,Available
Remote,"Software Engineer, AI",,,,United States of America,Data Scientist,Remote,Missing
"Chicago, IL 60290",Sr Data Scientist,"1,10,720","1,66,080"," $1,38,400.00 ",United States of America,Data Scientist,Chicago,Available
"New York, NY","Data Scientist II, Rider Experience","1,55,000","1,72,000"," $1,63,500.00 ",United States of America,Data Scientist,New York,Available
"Ohio, IL 61349",AI Engineer,"81,848.66","98,570.42"," $90,210.00 ",United States of America,Data Scientist,Ohio,Available
United States,Data Annotation Analyst,"60,000","75,000"," $67,500.00 ",United States of America,Data Scientist,United States,Available
"Downers Grove, IL 60515",Senior Data Analyst,,,,United States of America,Data Scientist,Downers Grove,Missing
"Los Angeles, CA 90064","Sr. Manager, AI & Analytics","1,80,000","2,00,000"," $1,90,000.00 ",United States of America,Data Scientist,Los Angeles,Available
"Grand Rapids, MI 49534",Software Developer/ AI Developer,"65,000","75,000"," $70,000.00 ",United States of America,Data Scientist,Grand Rapids,Available
Remote,Data Scientist-Sr Consultant II,"95,700","1,52,690"," $1,24,195.00 ",United States of America,Data Scientist,Remote,Available
"Carmel, IN 46032",Senior Power Systems Data Scientist,"1,15,000","1,34,000"," $1,24,500.00 ",United States of America,Data Scientist,Carmel,Available
"Lansing, MI",Data Scientist,,,,United States of America,Data Scientist,Lansing,Missing
"New York, NY","Human Data Manager, Handshake AI","1,10,000","1,40,000"," $1,25,000.00 ",United States of America,Data Scientist,New York,Available
"New York, NY","Software Dev Engineer II, Measurement, Ad Tech, and Data Science (MADS)","1,29,300","2,23,600"," $1,76,450.00 ",United States of America,Data Scientist,New York,Available
"McLean, VA 22102",Senior Data Scientist,"1,40,000","1,90,000"," $1,65,000.00 ",United States of America,Data Scientist,McLean,Available
"Scottsdale, AZ",Data Scientist 1,"1,23,500","2,12,850"," $1,68,175.00 ",United States of America,Data Scientist,Scottsdale,Available
"Washington, DC 20036",Data Scientist,,,,United States of America,Data Scientist,Washington,Missing
"McLean, VA 22102",Machine Learning Engineer,"1,15,000","1,50,000"," $1,32,500.00 ",United States of America,Data Scientist,McLean,Available
"Roslindale, MA 02131",Data Scientist III,,,,United States of America,Data Scientist,Roslindale,Missing
"Fort Collins, CO",Data Scientist,"79,360","1,19,040"," $99,200.00 ",United States of America,Data Scientist,Fort Collins,Available
"Bellevue, WA",Data Scientist II,"1,20,500","1,93,500"," $1,57,000.00 ",United States of America,Data Scientist,Bellevue,Available
"Chicago, IL",Sr Data Scientist,"1,23,500","2,12,850"," $1,68,175.00 ",United States of America,Data Scientist,Chicago,Available
"Jersey City, NJ 07310",Lead Data Scientist - Finance Technology,"1,42,500","2,10,000"," $1,76,250.00 ",United States of America,Data Scientist,Jersey City,Available
"Seattle, WA","Data Scientist, Applied AI Solutions","1,25,500","2,12,800"," $1,69,150.00 ",United States of America,Data Scientist,Seattle,Available
"Redmond, WA 98052",Senior Battery Data Scientist,"1,19,800","2,58,000"," $1,88,900.00 ",United States of America,Data Scientist,Redmond,Available
"Rochester, MN 55901",Principal Data Science Analyst - Remote,"1,41,689","2,05,420"," $1,73,555.00 ",United States of America,Data Scientist,Rochester,Available
"San Bruno, CA 94066","(USA) Senior, Data Scientist","1,17,000","2,34,000"," $1,75,500.00 ",United States of America,Data Scientist,San Bruno,Available
"Palo Alto, CA",Principal Data Scientist,,,,United States of America,Data Scientist,Palo Alto,Missing
"Washington, DC 20032",Data Scientist - MID,,,,United States of America,Data Scientist,Washington,Missing
"Bethesda, MD",Data Scientist,"1,40,792.99","1,87,723.99"," $1,64,258.00 ",United States of America,Data Scientist,Bethesda,Available
"Calabasas, CA","Senior Manager, Data Science","1,24,486","1,61,860"," $1,43,173.00 ",United States of America,Data Scientist,Calabasas,Available
"Phoenix, AZ 85051",AI chatbot developer,"95,321.52","3,14,795.80"," $2,05,059.00 ",United States of America,Data Scientist,Phoenix,Available
"Chantilly, VA",Data Scientist - STAR 2117,,,,United States of America,Data Scientist,Chantilly,Missing
Wisconsin,Sr Data Scientist,,,,United States of America,Data Scientist,Wisconsin,Missing
"Minnetonka, MN 55305","Principal Data Scientist, Star Ratings Analytics - Remote","1,06,800","1,94,200"," $1,50,500.00 ",United States of America,Data Scientist,Minnetonka,Available
"San Francisco, CA",Senior AI Data Specialist- Women's Health (Short-term 9 months),"1,39,000","2,03,000"," $1,71,000.00 ",United States of America,Data Scientist,San Francisco,Available
"Bethesda, MD",Data Scientist,"1,74,778.09","2,33,037.46"," $2,03,908.00 ",United States of America,Data Scientist,Bethesda,Available
"San Juan, PR",Data Scientist,,,,United States of America,Data Scientist,San Juan,Missing
Remote,Data Scientist with ML experience ( Only w2),51.09,55.94," $1,12,320.00 ",United States of America,Data Scientist,Remote,Available
"Fort Meade, MD",Data Scientist - Skill Level 3,"1,67,447.97","2,23,263.96"," $1,95,356.00 ",United States of America,Data Scientist,Fort Meade,Available
Remote,ML Engineer,"1,52,608","1,66,783"," $1,59,696.00 ",United States of America,Data Scientist,Remote,Available
Remote,Data Scientist,"95,000","1,05,000"," $1,00,000.00 ",United States of America,Data Scientist,Remote,Available
"Washington, DC",Data Scientist,,,,United States of America,Data Scientist,Washington,Missing
"Allegan, MI 49010",Sr. Data Scientist,,,,United States of America,Data Scientist,Allegan,Missing
"Orange, CA",Data Scientist – Generative AI & Medicare Risk Adjustment Analytics,"1,49,882","2,24,823"," $1,87,353.00 ",United States of America,Data Scientist,Orange,Available
"Washington, DC 20006",Sr. Data Scientist II (5945),"1,20,000","1,91,000"," $1,55,500.00 ",United States of America,Data Scientist,Washington,Available
"Lincolnshire, IL",Senior Data Scientist,"1,15,000","1,75,000"," $1,45,000.00 ",United States of America,Data Scientist,Lincolnshire,Available
"Washington, DC",Data Scientist - Mid,,,,United States of America,Data Scientist,Washington,Missing
"Scottsdale, AZ 85255",Associate Data Scientist,,,,United States of America,Data Scientist,Scottsdale,Missing
"Houston, TX 77030",Senior Data Scientist - Healthcare AI,"1,23,000","1,85,000"," $1,54,000.00 ",United States of America,Data Scientist,Houston,Available
"Sunnyvale, CA 94085",Data Science Engineer,"1,24,300","2,13,100"," $1,68,700.00 ",United States of America,Data Scientist,Sunnyvale,Available
"North Las Vegas, NV",Data Analyst / Senior Data Analyst,"77,633.37","1,35,078.16"," $1,06,356.00 ",United States of America,Data Scientist,North Las Vegas,Available
"Seattle, WA","Data Scientist, NAS Mosaic","1,25,500","2,12,800"," $1,69,150.00 ",United States of America,Data Scientist,Seattle,Available
"Rockville, MD 20850",Data Analyst / Health Data Scientist,"80,000.88","1,15,000.00"," $97,500.00 ",United States of America,Data Scientist,Rockville,Available
United States,Data Scientist,"1,00,000","1,10,000"," $1,05,000.00 ",United States of America,Data Scientist,United States,Available
"Des Moines, IA",Data Scientist II,,,,United States of America,Data Scientist,Des Moines,Missing
Minnesota,Data Scientist,"1,22,292","1,49,468"," $1,35,880.00 ",United States of America,Data Scientist,Minnesota,Available
"San Francisco, CA","Co-op, Data Science",,,,United States of America,Data Scientist,San Francisco,Missing
Remote,Arity - Data Scientist - Arity,"78,600","1,42,275"," $1,10,438.00 ",United States of America,Data Scientist,Remote,Available
Remote,Data Scientist,,,,United States of America,Data Scientist,Remote,Missing
Remote,Junior Data Scientist -DOD Secret Clearance Required,30,40," $72,800.00 ",United States of America,Data Scientist,Remote,Available
"Westwood, MA",Lead Data Scientist (Hybrid),"1,57,040","1,74,490"," $1,65,765.00 ",United States of America,Data Scientist,Westwood,Available
"Ridgefield, CT 06877",Senior Data Scientist,,,,United States of America,Data Scientist,Ridgefield,Missing
"Charlotte, NC 28202",Senior Data Science Consultant - Campaign Analytics,,,,United States of America,Data Scientist,Charlotte,Missing
Remote,Research Data Scientist,,,,United States of America,Data Scientist,Remote,Missing
"Washington, DC 20001",Senior Data Analyst,,,,United States of America,Data Scientist,Washington,Missing
"Dearborn, MI 48126",Analytics Scientist,,,,United States of America,Data Scientist,Dearborn,Missing
"New York, NY",Senior Analyst - Data Science,"55,000","1,05,000"," $80,000.00 ",United States of America,Data Scientist,New York,Available
"Charlottesville, VA","Data Scientist, Federal Team","98,100","1,71,398"," $1,34,749.00 ",United States of America,Data Scientist,Charlottesville,Available
"Palo Alto, CA","Senior Data Scientist, EGINew","1,75,000","2,10,000"," $1,92,500.00 ",United States of America,Data Scientist,Palo Alto,Available
"New York, NY",Lead Machine Learning Engineer,"1,75,800","2,35,700"," $2,05,750.00 ",United States of America,Data Scientist,New York,Available
"Seattle, WA 98107",AI Scientist - Agentic Verticals,"1,43,000","3,12,800"," $2,27,900.00 ",United States of America,Data Scientist,Seattle,Available
"Denver, CO 80014",Data Scientist Level 3,"61,244.98","1,34,738.95"," $97,992.00 ",United States of America,Data Scientist,Denver,Available
"Cleveland, OH 44195",Data Scientist II - Neurological Institute,,,,United States of America,Data Scientist,Cleveland,Missing
"Menlo Park, CA 94025","Data Science Manager, Monetization","2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,Menlo Park,Available
"Charlotte, NC 28202",Lead Data Science Consultant - Campaign Analytics,,,,United States of America,Data Scientist,Charlotte,Missing
"New York, NY","Audio Software Engineer, Applied Scientist",70.67,," $1,47,680.00 ",United States of America,Data Scientist,New York,Available
"Charlotte, NC",Sr Data Scientist,"1,10,720","1,66,080"," $1,38,400.00 ",United States of America,Data Scientist,Charlotte,Available
"New York, NY","Software Dev Engineer II, Measurement, Ad Tech, and Data Science (MADS)","1,29,300","2,23,600"," $1,76,450.00 ",United States of America,Data Scientist,New York,Available
"Redmond, WA 98052",Applied Scientist II - M365 Copilot,"1,00,600","2,15,400"," $1,58,000.00 ",United States of America,Data Scientist,Redmond,Available
"Sunnyvale, CA","Data Scientist, Energy Analytics, Google Cloud","1,66,000","2,44,000"," $2,05,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"South San Francisco, CA 94080",Advanced Data Science Associate Consultant,,,,United States of America,Data Scientist,South San Francisco,Missing
Remote,AI SpecialistNew,,,,United States of America,Data Scientist,Remote,Missing
"San Francisco, CA",Sr. Marketing Applied Scientist,"1,83,000","2,03,000"," $1,93,000.00 ",United States of America,Data Scientist,San Francisco,Available
United States,AI Machine Trainer (Remote),,,,United States of America,Data Scientist,United States,Missing
"New York, NY",Data Scientist (Technical Leadership),"2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,New York,Available
"New York, NY",Senior Data Analyst,,,,United States of America,Data Scientist,New York,Missing
"McLean, VA",Senior Data Scientist - NLP,"1,33,000","1,65,600"," $1,49,300.00 ",United States of America,Data Scientist,McLean,Available
"Irving, TX",Data Analytics Lead Analyst - C13 - IRVING,"1,25,760","1,88,640"," $1,57,200.00 ",United States of America,Data Scientist,Irving,Available
"Montgomery, NJ 08558",Senior Data Analyst - Litigation Content,"85,000","1,05,000"," $95,000.00 ",United States of America,Data Scientist,Montgomery,Available
"Wichita, KS 67201",EHS Systems & Data Analyst,,,,United States of America,Data Scientist,Wichita,Missing
"New York, NY",Sr. Marketing Applied Scientist,"1,83,000","2,03,000"," $1,93,000.00 ",United States of America,Data Scientist,New York,Available
"Columbus, OH","Senior Data Analyst - Hybrid, OH",,,,United States of America,Data Scientist,Columbus,Missing
United States,AI & Data Manager - Life Sciences R&D (CMC),"1,30,800","2,41,000"," $1,85,900.00 ",United States of America,Data Scientist,United States,Available
Remote,Principal Statistical Programmer,"1,45,000","1,55,000"," $1,50,000.00 ",United States of America,Data Scientist,Remote,Available
"Washington, DC 20022","Data Scientist, Senior Active TS/SCI with Poly REQUIRED","1,15,800","2,22,960"," $1,69,380.00 ",United States of America,Data Scientist,Washington,Available
"Lake Success, NY 11042","Sr Operations Data Analyst (Lake Success, NY: Hybrid)","1,17,000","1,47,000"," $1,32,000.00 ",United States of America,Data Scientist,Lake Success,Available
Remote,"Assistant Director, Data Science","1,04,000","2,25,000"," $1,64,500.00 ",United States of America,Data Scientist,Remote,Available
"Nashville, TN 37203",Data Science Manager,,,,United States of America,Data Scientist,Nashville,Missing
Remote,Principal Machine Learning Tech Lead," Up to   312,000   ",," $3,12,000.00 ",United States of America,Data Scientist,Remote,Available
"Sunnyvale, CA 94085",Data Science Engineer,"1,24,300","2,13,100"," $1,68,700.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Boston, MA",Senior Data Scientist,"87,210","1,31,230"," $1,09,220.00 ",United States of America,Data Scientist,Boston,Available
United States,Data Scientist,"1,19,800","2,58,000"," $1,88,900.00 ",United States of America,Data Scientist,United States,Available
"Michigan City, IN 46360",SAP Materials Master Data Analyst,,,,United States of America,Data Scientist,Michigan City,Missing
"McLean, VA",Senior Data Scientist - NLP,,,,United States of America,Data Scientist,McLean,Missing
"Sunnyvale, CA 94089","Data Science Manager, Monetization","2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
"New York, NY",AI & Data Platform Program Lead - SVP,"1,92,000","2,88,000"," $2,40,000.00 ",United States of America,Data Scientist,New York,Available
"Dahlgren, VA",Senior Data Analyst (4408),"1,05,100","1,75,100"," $1,40,100.00 ",United States of America,Data Scientist,Dahlgren,Available
Maryland,Data Scientist 3,"1,57,000","2,15,000"," $1,86,000.00 ",United States of America,Data Scientist,Maryland,Available
"New York, NY",Senior Machine Learning Engineer,"1,58,600","1,97,400"," $1,78,000.00 ",United States of America,Data Scientist,New York,Available
"New York, NY","GenAI Project Manager, Product Data Operations","93,000","1,36,000"," $1,14,500.00 ",United States of America,Data Scientist,New York,Available
"Annapolis Junction, MD",Senior Data Scientist,"1,20,800","2,17,400"," $1,69,100.00 ",United States of America,Data Scientist,Annapolis Junction,Available
"New York, NY","Senior Manager, Data Science - LLM Customization Team",,,,United States of America,Data Scientist,New York,Missing
"New York, NY",Senior Commercial Data Analyst,"1,14,750","1,53,000"," $1,33,875.00 ",United States of America,Data Scientist,New York,Available
"Bellevue, WA 98005","Research Scientist, Machine Learning (PhD)",56.25,," $1,16,480.00 ",United States of America,Data Scientist,Bellevue,Available
"Boston, MA","Senior Data Scientist, AI Agent","1,40,000","2,00,000"," $1,70,000.00 ",United States of America,Data Scientist,Boston,Available
"Chantilly, VA",Data Scientist (TS/SCI + Poly),,,,United States of America,Data Scientist,Chantilly,Missing
"Ridgefield, CT 06877",Principal Clinical Data Scientist,,,,United States of America,Data Scientist,Ridgefield,Missing
"Irvine, CA 92617",Sr. Data Analyst - Xumo,"87,174.77","1,30,762.15"," $1,08,968.00 ",United States of America,Data Scientist,Irvine,Available
"Seattle, WA","Data Scientist, Energy Analytics, Google Cloud","1,66,000","2,44,000"," $2,05,000.00 ",United States of America,Data Scientist,Seattle,Available
"Cary, NC",Senior Statistical Programmer (Remote),"73,000","1,12,000"," $92,500.00 ",United States of America,Data Scientist,Cary,Available
"Chicago, IL",Machine Learning Engineer,"1,11,500","1,91,950"," $1,51,725.00 ",United States of America,Data Scientist,Chicago,Available
Washington State,AI Community Engineer,"1,27,860","2,11,080"," $1,69,470.00 ",United States of America,Data Scientist,Washington State,Available
"Nashville, TN 37203",Lead Data Scientist,,,,United States of America,Data Scientist,Nashville,Missing
"Nashville, TN 37203",Data Science Manager,,,,United States of America,Data Scientist,Nashville,Missing
"Franklin, TN 37067","Sr. Data Scientist, Aftersales Parts Pricing",,,,United States of America,Data Scientist,Franklin,Missing
"Atlanta, GA 30319",Senior Data & AI Engineer,"1,16,700","1,96,100"," $1,56,400.00 ",United States of America,Data Scientist,Atlanta,Available
"Austin, TX","Manager, AI & Data Science - Cognitive AI","1,02,500","1,84,400"," $1,43,450.00 ",United States of America,Data Scientist,Austin,Available
"New York, NY","Applied Scientist II, Sponsored Products - Bidding","1,36,000","2,23,400"," $1,79,700.00 ",United States of America,Data Scientist,New York,Available
Remote,AI Specialist,,,,United States of America,Data Scientist,Remote,Missing
"Warren, NJ 07059",AI Engineer,"1,75,000","2,25,000"," $2,00,000.00 ",United States of America,Data Scientist,Warren,Available
California,"Assistant Director, Student Success Dashboard Data Scientist",,,,United States of America,Data Scientist,California,Missing
Remote,Senior Compliance & Data Analyst,"75,600","99,200"," $87,400.00 ",United States of America,Data Scientist,Remote,Available
"New York, NY","Strategic Projects Lead, Handshake AI","1,25,000","1,60,000"," $1,42,500.00 ",United States of America,Data Scientist,New York,Available
"Lackland AFB, TX 78236",Data Scientist,,,,United States of America,Data Scientist,Lackland AFB,Missing
"New York, NY","Growth Operations Lead, Handshake AI","1,25,000","2,00,000"," $1,62,500.00 ",United States of America,Data Scientist,New York,Available
"Atlanta, GA 30303","Senior Data Analyst, Ethics & Compliance",,,,United States of America,Data Scientist,Atlanta,Missing
Virginia,"Threat Analyst, Machine Learning (Remote, East/Central)","1,00,000","1,50,000"," $1,25,000.00 ",United States of America,Data Scientist,Virginia,Available
"Washington, DC","Machine Learning Engineer, Junior","55,200","1,26,000"," $90,600.00 ",United States of America,Data Scientist,Washington,Available
"Sunnyvale, CA 94089","Software Engineer, Machine Learning",56.25,," $1,16,480.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Saint Paul, MN",Data Analyst - Research Analysis Specialist Senior,31.92,47.05," $81,120.00 ",United States of America,Data Scientist,Saint Paul,Available
"Arlington, VA",Senior Data Scientist,,,,United States of America,Data Scientist,Arlington,Missing
"Sunnyvale, CA","Applied Scientist, Artificial General Intelligence","1,36,000","2,23,400"," $1,79,700.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Austin, TX",Sr. Decision Scientist,,,,United States of America,Data Scientist,Austin,Missing
"Burlingame, CA 94010","Data Science Manager, Demand Planning and Forecasting","2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,Burlingame,Available
"New York, NY",Software Engineer (Technical Leadership) - Machine Learning,"2,13,000","2,93,000"," $2,53,000.00 ",United States of America,Data Scientist,New York,Available
"New York, NY","Data Engineering Manager, Analytics","1,73,000","2,42,000"," $2,07,500.00 ",United States of America,Data Scientist,New York,Available
"Riverside, CA 92518",Sr. Data Scientist – AI/ML & LLM Specialist,"90,300","1,89,600"," $1,39,950.00 ",United States of America,Data Scientist,Riverside,Available
"Roswell, GA","AI/ML Development Engineer, RD&E","1,05,740","1,30,620"," $1,18,180.00 ",United States of America,Data Scientist,Roswell,Available
"Atlanta, GA",Machine Learning Ops Engineer,,,,United States of America,Data Scientist,Atlanta,Missing
"Menlo Park, CA 94025","Data Engineering Leader, Analytics (Monetization)","2,06,000","2,81,000"," $2,43,500.00 ",United States of America,Data Scientist,Menlo Park,Available
"Washington, DC 20005",AI Governance Fellow,"80,000","1,15,000"," $97,500.00 ",United States of America,Data Scientist,Washington,Available
"Bothell, WA","Director, AIDA R&D AI & Data Product Management","1,69,700","2,82,900"," $2,26,300.00 ",United States of America,Data Scientist,Bothell,Available
"Atlanta, GA",AI/ML Engineer,,,,United States of America,Data Scientist,Atlanta,Missing
Remote,Machine Learning Engineer III,"1,40,000","1,95,000"," $1,67,500.00 ",United States of America,Data Scientist,Remote,Available
"Renton, WA",Experienced Quality Systems Specialist (Statistical Analysis & Application),"86,700","1,17,300"," $1,02,000.00 ",United States of America,Data Scientist,Renton,Available
"Bellevue, WA 98005","Software Engineer, Machine Learning",56.25,," $1,16,480.00 ",United States of America,Data Scientist,Bellevue,Available
"Brooklyn Park, MN 55445","Lead Machine Learning / AI Engineer - Personalization (Python, PySpark, ML Ops)","1,28,000","2,77,000"," $2,02,500.00 ",United States of America,Data Scientist,Brooklyn Park,Available
"Newark, NJ 07102","Lead, Machine Learning Engineer","1,30,300","2,15,100"," $1,72,700.00 ",United States of America,Data Scientist,Newark,Available
United States,"AI Tutor, Environmental Science Specialist (Contract), Handshake AI",55,100," $1,62,240.00 ",United States of America,Data Scientist,United States,Available
"Atlanta, GA","Senior Delivery Consultant - Senior Machine Learning Engineer, AWS Professional Services, AWS Professional Services","1,38,200","2,39,000"," $1,88,600.00 ",United States of America,Data Scientist,Atlanta,Available
"Seattle, WA","Machine Learning Engineer II, Sponsored Products Search Sourcing, Amazon Advertising","1,29,300","2,23,600"," $1,76,450.00 ",United States of America,Data Scientist,Seattle,Available
"Sunnyvale, CA","Software Engineer III, Generative AI, Google Workspace","1,41,000","2,02,000"," $1,71,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
"New York, NY","Applied Scientist II, Sponsored Products - Bidding","1,36,000","2,23,400"," $1,79,700.00 ",United States of America,Data Scientist,New York,Available
"Menlo Park, CA",AI Developer Efficiency Product Manager,"2,02,000","2,77,000"," $2,39,500.00 ",United States of America,Data Scientist,Menlo Park,Available
"Ridgefield, CT 06877",Principal Clinical Data Scientist,,,,United States of America,Data Scientist,Ridgefield,Missing
"Bellevue, WA 98005","Data Engineering Manager, Analytics","1,73,000","2,42,000"," $2,07,500.00 ",United States of America,Data Scientist,Bellevue,Available
"Boston, MA","Delivery Consultant - Machine Learning Engineer, AWS Professional Services, AWS Professional Services","1,18,200","2,04,300"," $1,61,250.00 ",United States of America,Data Scientist,Boston,Available
"New York, NY",AI & Data Platform Program Lead - SVP,"1,92,000","2,88,000"," $2,40,000.00 ",United States of America,Data Scientist,New York,Available
"New York, NY",Senior Machine Learning Engineer,,,,United States of America,Data Scientist,New York,Missing
"New York, NY",Gen AI Lead Engineer - SVP,"1,92,000","2,88,000"," $2,40,000.00 ",United States of America,Data Scientist,New York,Available
United States,Applied AI Researcher (USA),,,,United States of America,Data Scientist,United States,Missing
"Atlanta, GA 30308",Lead Machine Learning Engineer,,,,United States of America,Data Scientist,Atlanta,Missing
United States,Senior AI/ML Engineer – Agentic AI Systems (Remote/Hybrid),"1,70,000","4,00,000"," $2,85,000.00 ",United States of America,Data Scientist,United States,Available
"Irving, TX",Workforce Optimization Data Science & Analytics Lead - Vice President,"1,38,720","2,08,080"," $1,73,400.00 ",United States of America,Data Scientist,Irving,Available
"Raleigh, NC",Associate Value Engineer (AI-Driven Data Science & Analytics) - Orbit Program,,,,United States of America,Data Scientist,Raleigh,Missing
United States,"AI Tutor, Economics Specialist (contract), Handshake AI",55,100," $1,62,240.00 ",United States of America,Data Scientist,United States,Available
"Boston, MA 02115",Machine Learning Engineer (Eligible for Secret Clearance),70,100," $1,76,800.00 ",United States of America,Data Scientist,Boston,Available
"Gaithersburg, MD 20878",ML/AI Operations Architect – Evinova,"1,67,772","2,51,658"," $2,09,715.00 ",United States of America,Data Scientist,Gaithersburg,Available
"Menlo Park, CA","Data Engineering Manager, Analytics","1,73,000","2,42,000"," $2,07,500.00 ",United States of America,Data Scientist,Menlo Park,Available
"Santa Clara, CA 95050",Senior AI Workflow Engineer,"2,24,000","3,56,500"," $2,90,250.00 ",United States of America,Data Scientist,Santa Clara,Available
United States,"AI Tutor, Chemical Engineering Specialist (Contract), Handshake AI",55,100," $1,62,240.00 ",United States of America,Data Scientist,United States,Available
"Mooresville, NC",WFM Data Analytics Consultant - Store Ops AI & Innovation,,,,United States of America,Data Scientist,Mooresville,Missing
"Reston, VA",Internal Audit - Data Science Senior Associate,"94,000","1,22,000"," $1,08,000.00 ",United States of America,Data Scientist,Reston,Available
"New York, NY","Software Engineer, Machine Learning",56.25,," $1,16,480.00 ",United States of America,Data Scientist,New York,Available
United States,Senior Fullstack AI Engineer,"1,20,000","1,30,000"," $1,25,000.00 ",United States of America,Data Scientist,United States,Available
"Chicago, IL","Senior Business Data Analyst, Network Reporting",,,,United States of America,Data Scientist,Chicago,Missing
"Richardson, TX 75081",Sr. Data Scientist,"90,000","1,44,000"," $1,17,000.00 ",United States of America,Data Scientist,Richardson,Available
"Arden Hills, MN",Manager - AI Engineering,"1,03,700","1,97,000"," $1,50,350.00 ",United States of America,Data Scientist,Arden Hills,Available
"Plano, TX 75024",Ai Engineer,"1,06,400","1,78,100"," $1,42,250.00 ",United States of America,Data Scientist,Plano,Available
"Washington, NC",Data Science Analyst - Python and Machine Learning,"56,000","85,400"," $70,700.00 ",United States of America,Data Scientist,Washington,Available
"Cupertino, CA",Senior ML Data Program Manager,"1,65,500","2,48,700"," $2,07,100.00 ",United States of America,Data Scientist,Cupertino,Available
"Mountain View, CA",Android AI ML Engineer - On-Device,80,93," $1,80,960.00 ",United States of America,Data Scientist,Mountain View,Available
"Houston, TX",Moveworks AI Agent Developer (remote),,,,United States of America,Data Scientist,Houston,Missing
"Sunnyvale, CA",Machine Learning Compiler Architect,"2,07,800","3,78,700"," $2,93,250.00 ",United States of America,Data Scientist,Sunnyvale,Available
Remote,Senior Data Scientist,70,75," $1,51,840.00 ",United States of America,Data Scientist,Remote,Available
"Nashville, TN 37203",Senior AI Engineer,,,,United States of America,Data Scientist,Nashville,Missing
"Cupertino, CA","AI Solutions Architect, Data Solutions & Initiatives","1,75,800","2,64,200"," $2,20,000.00 ",United States of America,Data Scientist,Cupertino,Available
