location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"Sunnyvale, CA 94089","Staff, Data Scientist","1,43,000","2,86,000"," $2,14,500.00 ",United States of America,Data Scientist,Sunnyvale,Available
Remote,Data Analyst Senior or Lead,"79,200","1,27,700"," $1,03,450.00 ",United States of America,Data Scientist,Remote,Available
"New York, NY","Prompt Engineer, Handshake AI","1,20,000","1,65,000"," $1,42,500.00 ",United States of America,Data Scientist,New York,Available
"San Diego, CA",Machine Learning Scientist II/Sr (Omics),"1,52,000","2,15,000"," $1,83,500.00 ",United States of America,Data Scientist,San Diego,Available
"Sunnyvale, CA","Software Engineering Manager II, AI/ML, Google Workspace","1,97,000","2,91,000"," $2,44,000.00 ",United States of America,Data Scientist,Sunnyvale,Available
"Nashville, TN 37203",AI & Data Manager - Life Sciences R&D (CMC),"1,30,800","2,41,000"," $1,85,900.00 ",United States of America,Data Scientist,Nashville,Available
"Irving, TX",GenAI Technology Lead - (Hybrid),"1,56,160","2,34,240"," $1,95,200.00 ",United States of America,Data Scientist,Irving,Available
"McLean, VA 22102",Data Scientist (Predictive),"1,40,000","1,90,000"," $1,65,000.00 ",United States of America,Data Scientist,McLean,Available
"Ridgefield, CT 06877",Senior Clinical Data Scientist,,,,United States of America,Data Scientist,Ridgefield,Missing
"New York, NY",Azure AI Security Senior Consultant,"1,18,700","2,18,600"," $1,68,650.00 ",United States of America,Data Scientist,New York,Available
"Chicago, IL 60601",Head of Data & AI,"1,10,000","1,40,000"," $1,25,000.00 ",United States of America,Data Scientist,Chicago,Available
"Arlington, VA","Senior Delivery Consultant- GenAI/ML, AWS, Industries","1,38,200","2,39,000"," $1,88,600.00 ",United States of America,Data Scientist,Arlington,Available
Remote,"Analyst, Talent Analytics (Machine Learning)","80,000","2,80,000"," $1,80,000.00 ",United States of America,Data Scientist,Remote,Available
Wisconsin,AI Platform Engineer (Remote),"82,000","1,64,000"," $1,23,000.00 ",United States of America,Data Scientist,Wisconsin,Available
"McLean, VA 22102",Data Scientist (Generative AI),"1,25,000","1,60,000"," $1,42,500.00 ",United States of America,Data Scientist,McLean,Available
"Orlando, FL 32819","Data Scientist Analyst Stf / Orlando, FL",,,,United States of America,Data Scientist,Orlando,Missing
New Jersey,Lead - Advanced Analytics,,,,United States of America,Data Scientist,New Jersey,Missing
"New York, NY 10018",Senior/Lead Machine Learning Engineer,"   1,000 a day ",," $2,60,000.00 ",United States of America,Data Scientist,New York,Available
"Santa Clara, CA 95050",Senior AI Workflow Engineer,"1,84,000","3,56,500"," $2,70,250.00 ",United States of America,Data Scientist,Santa Clara,Available
"San Francisco, CA",Sr. Data Analyst,"1,43,900","2,15,800"," $1,79,850.00 ",United States of America,Data Scientist,San Francisco,Available
"Philadelphia, PA 19103","Principal, AI Data Scientist (Remote)",,,,United States of America,Data Scientist,Philadelphia,Missing
"Atlanta, GA",Principal Machine Learning Engineer,,,,United States of America,Data Scientist,Atlanta,Missing
"Salt Lake City, UT 84103",Data Scientist Sr - Missionary Dept.,,,,United States of America,Data Scientist,Salt Lake City,Missing
"Bethesda, MD",Staff AI Researcher,"2,15,000","2,30,000"," $2,22,500.00 ",United States of America,Data Scientist,Bethesda,Available
"Huntsville, AL",Data Scientist Manager,,,,United States of America,Data Scientist,Huntsville,Missing
"Portage, IN 46368",Data Scientist Quality Engineer,"86,907.87","1,46,142.27"," $1,16,525.00 ",United States of America,Data Scientist,Portage,Available
"Greenwood Village, CO 80111",AI Developer,,,,United States of America,Data Scientist,Greenwood Village,Missing
"New York, NY 10018",Senior Customer Data Analyst,"1,26,000","1,58,000"," $1,42,000.00 ",United States of America,Data Scientist,New York,Available
"Atlanta, GA",Principal Data Scientist,"1,60,900","2,70,400"," $2,15,650.00 ",United States of America,Data Scientist,Atlanta,Available
"New York, NY",Machine Learning Software Engineering Manager,"2,13,000","2,93,000"," $2,53,000.00 ",United States of America,Data Scientist,New York,Available
"New York, NY 10003",Product Analyst - GenAI,"85,000","1,00,000"," $92,500.00 ",United States of America,Data Scientist,New York,Available
"San Francisco, CA","Sr. Data Scientist, ART19","1,43,300","2,47,600"," $1,95,450.00 ",United States of America,Data Scientist,San Francisco,Available
"San Francisco, CA","Sr. Data Scientist, ART19","1,43,300","2,47,600"," $1,95,450.00 ",United States of America,Data Scientist,San Francisco,Available
"San Diego, CA","Applied Scientist I, Buyer Abuse Prevention","1,29,400","2,12,800"," $1,71,100.00 ",United States of America,Data Scientist,San Diego,Available
Remote,Decision Scientist,"90,000","1,20,000"," $1,05,000.00 ",United States of America,Data Scientist,Remote,Available
Remote,ML Engineer,60,70," $1,35,200.00 ",United States of America,Data Scientist,Remote,Available
"Austin, TX 78701",Senior Data Processing Platform Engineer,"1,48,000","2,87,500"," $2,17,750.00 ",United States of America,Data Scientist,Austin,Available
"Menlo Park, CA",Head of AI Solutions,"2,43,000","3,79,500"," $3,11,250.00 ",United States of America,Data Scientist,Menlo Park,Available
"New York, NY","Software Development Engineer II, Measurement, Ad Tech, and Data Science (MADS)","1,29,300","2,23,600"," $1,76,450.00 ",United States of America,Data Scientist,New York,Available
North Carolina,"Manager, Machine Learning Operations",,,,United States of America,Data Scientist,North Carolina,Missing
"Huntsville, AL",Data Consultant,,,,United States of America,Data Scientist,Huntsville,Missing
"Fort Meade, MD",Data Scientist,,,,United States of America,Data Scientist,Fort Meade,Missing
"Charlotte, NC 28217",Data Scientist,,,,United States of America,Data Scientist,Charlotte,Missing
"San Diego, CA","Applied Scientist I, Buyer Abuse Prevention","1,29,400","2,12,800"," $1,71,100.00 ",United States of America,Data Scientist,San Diego,Available
"Bellevue, WA","Software Engineer, Machine Learning â€“ Engineering Systems and AI Research","1,57,000","2,30,000"," $1,93,500.00 ",United States of America,Data Scientist,Bellevue,Available
"Baltimore, MD 21201",RESEARCH STATISTICIAN III,"60,987","79,364"," $70,176.00 ",United States of America,Data Scientist,Baltimore,Available
"Atlanta, GA","Co-op, Flight Operations Crew Resources - Pilot Pay Experience & Analytics (Fall 2025)",,,,United States of America,Data Scientist,Atlanta,Missing
"Spring House, PA","Principal Portfolio Lead, Statistical Programming - Oncology","1,15,000","1,97,800"," $1,56,400.00 ",United States of America,Data Scientist,Spring House,Available
"San Jose, CA",Machine Learning Engineer - CV/NLP/Multimodal LLM (TikTok Trust and Safety) - 2026 Start(PHD),"1,45,000","2,50,000"," $1,97,500.00 ",United States of America,Data Scientist,San Jose,Available
"Purvis, MS 39475",Data Scientist,"80,000","95,000"," $87,500.00 ",United States of America,Data Scientist,Purvis,Available
"Arlington, VA 22203",AI ML Engineer (Senior),"1,50,000",," $1,50,000.00 ",United States of America,Data Scientist,Arlington,Available
"Seattle, WA 98107",AI Infrastructure Engineer,127,," $2,64,160.00 ",United States of America,Data Scientist,Seattle,Available
Remote,AI (Artificial Intelligence) Engineer,"1,20,000","1,60,000"," $1,40,000.00 ",United States of America,Data Scientist,Remote,Available
"Annapolis Junction, MD 20701","Data Scientist, Lead",84.14,96.16, $90.00 ,United States of America,Data Scientist,Annapolis Junction,Available
"Bothell, WA","Senior Manager, Data Science & Analytics","1,20,800","2,01,400"," $1,61,100.00 ",United States of America,Data Scientist,Bothell,Available
"Palo Alto, CA 94303","Associate Director, AI Data Scientist",,,,United States of America,Data Scientist,Palo Alto,Missing
"Chantilly, VA",Data Scientist Virginia,,,,United States of America,Data Scientist,Chantilly,Missing
"Lake Forest, IL",SENIOR WEBSITE DATA ANALYST,48,50," $1,01,920.00 ",United States of America,Data Scientist,Lake Forest,Available
"Fort Worth, TX 76102",Azure AI Security Senior Consultant,"1,18,700","2,18,600"," $1,68,650.00 ",United States of America,Data Scientist,Fort Worth,Available
"Dallas, TX",Principal Data Scientist,"1,60,900","2,70,400"," $2,15,650.00 ",United States of America,Data Scientist,Dallas,Available
"New York, NY",Senior Data Analyst,"95,000","1,05,000"," $1,00,000.00 ",United States of America,Data Scientist,New York,Available
"North Reading, MA 01864",Amazon Robotics - Data Scientist Co-op - 2025,,,,United States of America,Data Scientist,North Reading,Missing
"Jacksonville, FL","Applied AI/ML, Senior Associate - Gen AI & LLM",,,,United States of America,Data Scientist,Jacksonville,Missing
"Santa Clara, CA 95050",Senior Data Scientist - Finance,"1,68,000","3,22,000"," $2,45,000.00 ",United States of America,Data Scientist,Santa Clara,Available
"Philadelphia, PA",Senior Data & AI Engineer - Knowledge Graphs & GCP,,,,United States of America,Data Scientist,Philadelphia,Missing
"Plano, TX 75024",Applied AI/ML - Vice President,,,,United States of America,Data Scientist,Plano,Missing
"Plano, TX",Machine Learning Engineer - Vice President,,,,United States of America,Data Scientist,Plano,Missing
"Arlington, VA","Deep Learning Architect, Generative AI Innovation Center","1,18,200","2,04,300"," $1,61,250.00 ",United States of America,Data Scientist,Arlington,Available
"Plano, TX 75024",Machine Learning Engineer - Vice President,"1,64,350","2,60,000"," $2,12,175.00 ",United States of America,Data Scientist,Plano,Available
"New York, NY","Senior Applied Scientist, Agentic AI Professional Services Experience","1,50,400","2,60,000"," $2,05,200.00 ",United States of America,Data Scientist,New York,Available
"New York, NY 10003",Senior Business/Data Analyst,"1,03,330","1,28,656"," $1,15,993.00 ",United States of America,Data Scientist,New York,Available
"Silver Spring, MD",Lead Data Scientist & Deputy Program Manager,,,,United States of America,Data Scientist,Silver Spring,Missing
"Princeton, NJ","Associate Director, Analytical AI Forecasting and Predictive Solutions","1,67,540","2,03,000"," $1,85,270.00 ",United States of America,Data Scientist,Princeton,Available
"Chantilly, VA 20151",Data Visualization Subject Matter Expert (SME),"90,300","1,89,600"," $1,39,950.00 ",United States of America,Data Scientist,Chantilly,Available
Remote,Full Stack AI Engineer - Senior Consultant II,"85,600","1,52,650"," $1,19,125.00 ",United States of America,Data Scientist,Remote,Available
"New York, NY 10038",Senior Data Analyst,"1,16,000","1,62,100"," $1,39,050.00 ",United States of America,Data Scientist,New York,Available
